fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,curcd,fyear,at,che,dlc,dltt,dp,mib,oiadp,oibdp,sale,txc,txt,cshoi
DNK,A,HIST_STD,INDL,C,101156,31/12/2023,NKT A/S,EUR,2023,3604,887.9,11.9,195.5,82.5,,165.1,247.6,2598.6,29,30.1,53.633
DNK,A,HIST_STD,INDL,C,101156,31/12/2024,NKT A/S,EUR,2024,4859,1518,17,221,95,,550,645,3252,47,38,53.669
FRA,A,HIST_STD,INDL,C,103305,31/12/2023,MERSEN S A,EUR,2023,1535.5,64.5,34.5,296.3,65.4,,135.5,200.9,1210.9,16.1,26.2,24.19
FRA,A,HIST_STD,INDL,C,103305,31/12/2024,MERSEN S A,EUR,2024,1801.4,51.3,107.4,398.4,74.5,,129.4,203.9,1243.6,22.7,22,24.352
NLD,A,HIST_STD,INDL,C,103413,31/12/2023,AALBERTS NV,EUR,2023,4138.3,134.2,185.7,516.9,199.2,,427.8,627,3324,111.6,103.5,110.58
NLD,A,HIST_STD,INDL,C,103413,31/12/2024,AALBERTS NV,EUR,2024,4230,95.9,251.9,434.7,218.5,,372.5,591,3148.6,100.4,74.2,110.58
NLD,A,HIST_STD,INDL,C,104718,31/12/2023,TKH GROUP NV,EUR,2023,2127.779,93.697,75.864,572.368,72.251,,178.138,250.389,1847.532,39.475,37.18,39.794
NLD,A,HIST_STD,INDL,C,104718,31/12/2024,TKH GROUP NV,EUR,2024,2213.341,125.629,90.27,620.085,77.832,,139.059,216.891,1712.735,28.713,24,39.873
CHE,A,HIST_STD,INDL,C,203189,31/12/2023,HUBER & SUHNER,CHF,2023,777.026,163.1,0,0,32.94,,77.539,110.479,851.062,11.686,9.783,18.451
CHE,A,HIST_STD,INDL,C,203189,31/12/2024,HUBER & SUHNER,CHF,2024,889.16,184.133,0,0,35.985,,86.619,122.604,893.874,16.489,13.511,18.453
DEU,A,HIST_STD,INDL,C,218000,31/12/2023,JENOPTIK AG,EUR,2023,1666.912,67.69,24.273,466.487,69.812,,142.67,212.482,1066.048,21.745,37.563,57.238
DEU,A,HIST_STD,INDL,C,218000,31/12/2024,JENOPTIK AG,EUR,2024,1740.009,85.573,17.217,463.899,73.053,,147.082,220.135,1115.787,29.067,37.798,57.238
DEU,A,HIST_STD,INDL,C,222340,31/12/2023,DUERR AG,EUR,2023,5155.985,1055.023,467.808,1065.303,114.648,,205.624,320.272,4627.334,60.322,61.055,69.202
DEU,A,HIST_STD,INDL,C,222340,31/12/2024,DUERR AG,EUR,2024,4978.375,964.848,113.163,1212.048,144.041,,151.456,295.497,4290.936,76.787,49.955,69.202
DEU,A,HIST_STD,INDL,C,228580,31/12/2023,BASLER AG,EUR,2023,255.755,32.228,12.453,71.267,11.178,,-20.612,-9.434,203.103,1.975,-6.364,30.737
DEU,A,HIST_STD,INDL,C,228580,31/12/2024,BASLER AG,EUR,2024,233.589,21.323,11.084,60.999,10.606,,-9.911,0.695,183.715,4.405,1.771,30.743
